"product_id","category_id","product_name","product_description","price","brand","registration_date"
"GNZuCtwed3",1,"Amazing heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",326.83,"SonicPlus",2022-07-16
"CAgNlUizNm",1,"Portable heater","This Innovative is one of a kind. It offers unparalleled performance and convenience.",282.43,"EcoDrive",2023-12-24
"vDe7GN0NrL",1,"Eco-friendly Refridgerator","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",803.88,"NextGen",2023-10-20
"TbUBpfn6iP",1,"Innovative microwave","This Wireless is one of a kind. It offers unparalleled performance and convenience.",112.98,"TechGuru",2022-08-14
"oemYWm1Tjg",1,"Essential Refridgerator","This Wireless is one of a kind. It offers unparalleled performance and convenience.",839.74,"UltraGear",2023-01-04
"TrRF46JWfP",1,"Compact DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",88.47,"Elevate",2022-12-07
"uISKeFTl5s",1,"Durable DVD","This Smart is one of a kind. It offers unparalleled performance and convenience.",720.39,"EcoDrive",2024-01-13
"LqLKTtrOmx",1,"Wireless microwave","This Compact is one of a kind. It offers unparalleled performance and convenience.",865.97,"UltraGear",2022-03-31
"QiOKkCi7F8",1,"High-quality Refridgerator","This Smart is one of a kind. It offers unparalleled performance and convenience.",978.77,"NextGen",2023-07-05
"E3dsmnSPob",1,"Smart Mobile phone","This Smart is one of a kind. It offers unparalleled performance and convenience.",256.63,"Elevate",2023-09-08
"eLGzdD8Tvb",2,"Amazing tops","This Durable is one of a kind. It offers unparalleled performance and convenience.",34.61,"FutureVision",2023-04-03
"yjMQ90i6Rd",2,"Portable socks","This Portable is one of a kind. It offers unparalleled performance and convenience.",230.75,"SonicPlus",2023-04-14
"zUUAkSVCEa",2,"Eco-friendly socks","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",130.81,"EcoDrive",2023-09-27
"Z42dvbYWzV",2,"Innovative shirts","This Wireless is one of a kind. It offers unparalleled performance and convenience.",391.39,"EcoDrive",2022-09-26
"gbEGjSAk6r",2,"Essential ties","This Portable is one of a kind. It offers unparalleled performance and convenience.",93.49,"UltraGear",2023-07-29
"cYKSVBW4HD",2,"Compact sarees","This Durable is one of a kind. It offers unparalleled performance and convenience.",289.76,"TechGuru",2022-09-06
"HtRmsP3KiK",2,"Durable womens wear","This Essential is one of a kind. It offers unparalleled performance and convenience.",570.92,"PrimeTech",2022-03-12
"dqrONtdjbt",2,"Wireless sarees","This Durable is one of a kind. It offers unparalleled performance and convenience.",335.26,"EcoTech",2022-04-11
"IBsVsBliwX",2,"High-quality sarees","This Smart is one of a kind. It offers unparalleled performance and convenience.",944.04,"EcoDrive",2023-08-16
"iO6vHa6qJm",2,"Smart shirts","This Smart is one of a kind. It offers unparalleled performance and convenience.",383.53,"TechGuru",2023-06-04
"GDWGBWY8Fi",3,"Amazing carpets","This Essential is one of a kind. It offers unparalleled performance and convenience.",953.78,"TechGuru",2023-07-04
"x6lwoJexxL",3,"Portable flowers","This Compact is one of a kind. It offers unparalleled performance and convenience.",280.52,"FutureVision",2022-05-01
"GAJVvVF2Pq",3,"Eco-friendly flowers","This Amazing is one of a kind. It offers unparalleled performance and convenience.",690.46,"PrimeTech",2023-11-03
"L8NdOggYQS",3,"Innovative bins","This Amazing is one of a kind. It offers unparalleled performance and convenience.",145.62,"EcoDrive",2023-03-30
"IZu8PDQ8Sw",3,"Essential air freshners","This Compact is one of a kind. It offers unparalleled performance and convenience.",812.11,"NextGen",2022-12-09
"lvTbU6FUNv",3,"Compact pots","This Compact is one of a kind. It offers unparalleled performance and convenience.",764.98,"InnoVate",2022-09-24
"WJHmhA3kcA",3,"Durable instant heater","This Smart is one of a kind. It offers unparalleled performance and convenience.",447.98,"FutureVision",2023-10-12
"36NAIBFBTl",3,"Wireless pots","This Compact is one of a kind. It offers unparalleled performance and convenience.",462.11,"NextGen",2022-01-14
"1WsN28J98D",3,"High-quality flowers","This High-quality is one of a kind. It offers unparalleled performance and convenience.",683.65,"FutureVision",2023-11-14
"E8yKVg673v",3,"Smart mops","This Amazing is one of a kind. It offers unparalleled performance and convenience.",83.65,"FutureVision",2023-02-15
"f5USNzAo4O",4,"Amazing tables","This Wireless is one of a kind. It offers unparalleled performance and convenience.",650.16,"FutureVision",2023-09-09
"8BqiGU5Lyc",4,"Portable beds","This Compact is one of a kind. It offers unparalleled performance and convenience.",792.01,"Elevate",2022-01-01
"fJPzrxomGl",4,"Eco-friendly desks","This Amazing is one of a kind. It offers unparalleled performance and convenience.",231.08,"NextGen",2023-08-03
"zIOo4MR9ay",4,"Innovative sofas","This Smart is one of a kind. It offers unparalleled performance and convenience.",50.53,"EcoDrive",2024-02-02
"zAXNfGTAMi",4,"Essential tables","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",390.8,"EcoTech",2022-01-23
"U3mPyHq5sT",4,"Compact bookshelves","This Wireless is one of a kind. It offers unparalleled performance and convenience.",350.65,"NextGen",2022-05-07
"6KpHap4hhS",4,"Durable cabinets","This Essential is one of a kind. It offers unparalleled performance and convenience.",451.91,"EcoTech",2022-09-12
"RYvEDQKrAU",4,"Wireless beds","This Compact is one of a kind. It offers unparalleled performance and convenience.",392.96,"Elevate",2023-08-31
"QYeyEEnp7x",4,"High-quality bookshelves","This Wireless is one of a kind. It offers unparalleled performance and convenience.",919.13,"SonicPlus",2023-02-04
"98vV9LeJL9",4,"Smart chairs","This Smart is one of a kind. It offers unparalleled performance and convenience.",182.28,"EcoTech",2022-10-23
"eBxtwiMm0w",5,"Amazing juicer, mixer","This Wireless is one of a kind. It offers unparalleled performance and convenience.",158.37,"FutureVision",2023-02-08
"zMknhTUJhp",5,"Portable blender","This Essential is one of a kind. It offers unparalleled performance and convenience.",617.07,"NextGen",2022-05-12
"QVf8LP5vps",5,"Eco-friendly blender","This Durable is one of a kind. It offers unparalleled performance and convenience.",27.07,"NextGen",2022-01-09
"w4NX6nj3Tv",5,"Innovative toaster","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",75.45,"TechGuru",2023-09-25
"2IVbGQMw74",5,"Essential coffee maker","This Smart is one of a kind. It offers unparalleled performance and convenience.",781.05,"TechGuru",2022-08-29
"xRMA3eZzb4",5,"Compact food processor","This Amazing is one of a kind. It offers unparalleled performance and convenience.",936.3,"EcoTech",2022-08-11
"AT0RGwiATg",5,"Durable juicer, mixer","This Essential is one of a kind. It offers unparalleled performance and convenience.",215.13,"EcoTech",2022-09-23
"SxiO7ErRUg",5,"Wireless juicer, mixer","This Essential is one of a kind. It offers unparalleled performance and convenience.",646.91,"SonicPlus",2023-02-21
"l9qwaVB0s8",5,"High-quality coffee maker","This Innovative is one of a kind. It offers unparalleled performance and convenience.",338.07,"InnoVate",2023-06-13
"1wIAOSQWq3",5,"Smart microwave","This High-quality is one of a kind. It offers unparalleled performance and convenience.",955.87,"Elevate",2022-08-05
"YgefTyOqkX",6,"Amazing camping gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",819.02,"InnoVate",2024-02-08
"sS0jiBeXKd",6,"Portable bicycles","This Smart is one of a kind. It offers unparalleled performance and convenience.",742.87,"InnoVate",2023-07-30
"phL7Ovnlxz",6,"Eco-friendly fishing gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",230.48,"Elevate",2023-05-19
"b1KH72MKAc",6,"Innovative fishing gear","This Portable is one of a kind. It offers unparalleled performance and convenience.",55.27,"NextGen",2023-08-09
"OxeKC7zNYj",6,"Essential hiking gear","This Compact is one of a kind. It offers unparalleled performance and convenience.",372.86,"SonicPlus",2023-07-28
"rZ0ulN53op",6,"Compact fitness equipment","This Smart is one of a kind. It offers unparalleled performance and convenience.",743.98,"EcoDrive",2022-06-06
"e8LjuhEdHx",6,"Durable fishing gear","This High-quality is one of a kind. It offers unparalleled performance and convenience.",934.17,"UltraGear",2023-03-08
"9PF5pWfPqj",6,"Wireless bicycles","This Durable is one of a kind. It offers unparalleled performance and convenience.",676.48,"TechGuru",2023-06-22
"Lwe2aP4Wxh",6,"High-quality camping gear","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",704.34,"Elevate",2023-09-21
"YFmepeTUNR",6,"Smart camping gear","This Essential is one of a kind. It offers unparalleled performance and convenience.",849.15,"NextGen",2023-05-01
"ov9kyyLOw6",7,"Amazing haircare products","This Amazing is one of a kind. It offers unparalleled performance and convenience.",709.1,"Elevate",2022-12-04
"vLXXiP9Lc3",7,"Portable makeup","This High-quality is one of a kind. It offers unparalleled performance and convenience.",860.22,"NextGen",2023-07-01
"qDX8KcFdUw",7,"Eco-friendly beauty accessories","This Compact is one of a kind. It offers unparalleled performance and convenience.",451.19,"FutureVision",2023-11-20
"rMJpSJ64gf",7,"Innovative grooming tools","This Compact is one of a kind. It offers unparalleled performance and convenience.",679.87,"UltraGear",2023-10-03
"uIvCnD1rgw",7,"Essential nail care","This High-quality is one of a kind. It offers unparalleled performance and convenience.",136.55,"SonicPlus",2023-03-20
"fqMOZ5Cakr",7,"Compact makeup","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",738.81,"EcoDrive",2023-01-03
"Nn3cMauCMf",7,"Durable nail care","This Wireless is one of a kind. It offers unparalleled performance and convenience.",76.57,"Elevate",2022-07-25
"lWpWVQM7IH",7,"Wireless skincare products","This Portable is one of a kind. It offers unparalleled performance and convenience.",287.99,"FutureVision",2022-12-16
"lm8VbVNQ0u",7,"High-quality perfumes","This Durable is one of a kind. It offers unparalleled performance and convenience.",417.5,"SonicPlus",2022-03-06
"4VobQYmAyT",7,"Smart nail care","This Smart is one of a kind. It offers unparalleled performance and convenience.",943.99,"TechGuru",2023-03-18
"vtkfe4QWwi",8,"Amazing dolls","This Compact is one of a kind. It offers unparalleled performance and convenience.",977.57,"Elevate",2023-07-21
"iT7mRQ19Ql",8,"Portable outdoor play equipment","This High-quality is one of a kind. It offers unparalleled performance and convenience.",48.48,"NextGen",2023-11-12
"0buhGqKZQ3",8,"Eco-friendly outdoor play equipment","This Smart is one of a kind. It offers unparalleled performance and convenience.",591.85,"NextGen",2022-08-07
"jXk3iIHp52",8,"Innovative puzzles","This Durable is one of a kind. It offers unparalleled performance and convenience.",39.71,"Elevate",2023-08-13
"LXbGCNTp7f",8,"Essential outdoor play equipment","This Essential is one of a kind. It offers unparalleled performance and convenience.",569.63,"InnoVate",2023-06-28
"UtY7RBQDxR",8,"Compact outdoor play equipment","This Durable is one of a kind. It offers unparalleled performance and convenience.",107.24,"FutureVision",2022-11-01
"m9rCBAZjsh",8,"Durable building blocks","This Durable is one of a kind. It offers unparalleled performance and convenience.",633.99,"UltraGear",2022-05-22
"To1zdQ1kCz",8,"Wireless building blocks","This Durable is one of a kind. It offers unparalleled performance and convenience.",820.32,"EcoTech",2022-12-14
"uijTrAcIS2",8,"High-quality action figures","This Smart is one of a kind. It offers unparalleled performance and convenience.",356.54,"EcoDrive",2023-08-19
"B3wLWcEVoL",8,"Smart outdoor play equipment","This Portable is one of a kind. It offers unparalleled performance and convenience.",142.64,"NextGen",2023-09-23
"r2ykGfLwK1",9,"Amazing tools","This Innovative is one of a kind. It offers unparalleled performance and convenience.",90.13,"TechGuru",2022-08-08
"LOMxNXvuFi",9,"Portable car accessories","This Innovative is one of a kind. It offers unparalleled performance and convenience.",356.94,"TechGuru",2023-01-08
"LYkor2DMIj",9,"Eco-friendly tools","This High-quality is one of a kind. It offers unparalleled performance and convenience.",996.31,"SonicPlus",2023-02-18
"huqmOZ4sxV",9,"Innovative maintenance supplies","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",537.64,"EcoTech",2022-10-20
"v8EUTQ2diL",9,"Essential interior accessories","This High-quality is one of a kind. It offers unparalleled performance and convenience.",342.54,"SonicPlus",2023-03-16
"wk3yD2GiFE",9,"Compact interior accessories","This Innovative is one of a kind. It offers unparalleled performance and convenience.",321.09,"InnoVate",2023-04-21
"1Gg23OUdi4",9,"Durable exterior accessories","This Wireless is one of a kind. It offers unparalleled performance and convenience.",388.8,"InnoVate",2023-07-06
"QyoDU0GSjz",9,"Wireless car electronics","This High-quality is one of a kind. It offers unparalleled performance and convenience.",28.36,"PrimeTech",2022-04-17
"KwxtUmngaK",9,"High-quality car care products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",46.17,"NextGen",2022-06-15
"0450K7a20A",9,"Smart car accessories","This Compact is one of a kind. It offers unparalleled performance and convenience.",879.73,"Elevate",2024-01-17
"plGBD33942",10,"Amazing beds and furniture","This Essential is one of a kind. It offers unparalleled performance and convenience.",408.04,"NextGen",2023-06-25
"Wmh41R9ihs",10,"Portable collars and leashes","This Essential is one of a kind. It offers unparalleled performance and convenience.",474.69,"FutureVision",2023-09-15
"Kyz2toiHVQ",10,"Eco-friendly pet food","This Durable is one of a kind. It offers unparalleled performance and convenience.",408.31,"NextGen",2023-11-16
"bvEGjkvSrJ",10,"Innovative collars and leashes","This High-quality is one of a kind. It offers unparalleled performance and convenience.",705.07,"UltraGear",2023-08-14
"Cv3PSPfkuo",10,"Essential pet food","This Smart is one of a kind. It offers unparalleled performance and convenience.",405.17,"InnoVate",2023-03-13
"5BdsaGsBU0",10,"Compact carriers and travel products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",506.94,"FutureVision",2023-06-06
"MR7cIEMtzj",10,"Durable pet grooming supplies","This Smart is one of a kind. It offers unparalleled performance and convenience.",46.6,"EcoDrive",2023-09-03
"zXQx941bhn",10,"Wireless collars and leashes","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",305,"Elevate",2023-05-18
"89zOBTXKzW",10,"High-quality beds and furniture","This High-quality is one of a kind. It offers unparalleled performance and convenience.",963.21,"NextGen",2023-12-23
"8RcC8mdHBG",10,"Smart carriers and travel products","This Eco-friendly is one of a kind. It offers unparalleled performance and convenience.",935.75,"PrimeTech",2022-03-14
